ArtikelID;Text
3799;blank / stark konserviert 
3817;blank / mit 1-er Rille
3929;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad 
4038;blank
4054;blank
4089;blank
4115;blank
4191;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
4198;blank
4219;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
4236;blank
4271;blank
4272;gal Zn A3P
4276;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
4294;vernickelt 1-2 µm
4295;vernickelt 1-2 µm
4297;blank
4298;galv. Überzug ISO1456 - Cu/Ni10b
4302;blank
4308;blank
4319;blank
4322;gal. Cu Ni Sn 8 gl
4331;blank
4333;blank
4353;5-10µ Sn gl.  über 2-3µ duktilem Ni in whiskerarmen Bad
4354;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
4356;galv. Überzug ISO1456 Cu/Ni 10b 
4358;blank
4366;weichgeglüht HV90 unter Schutzgas, vernickelt 6-8µm 
4368;blank
4386;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad 
4412;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
